Plot,Site,Year,Treatment,I_LUAL_2010,I_LUAL_2011,LUAL_I,I_2010,M_2010,R_2010,A_2010,T_2010,I_2011,M_2011,R_2011,A_2011,T_2011,IMMATURE,MATURE,RESPROUTS,ADULTS,TOTAL,IMM_TRANS,RESP_TRANS,TOT_TRANS
1,Milagra,2010,a-Control,19,13,-6,19,10,0,10,29,13,28,1,29,42,-6,18,1,19,13,0,1,4.123105626
1,Milagra,2010,Burn,6,9,3,6,26,0,26,32,9,0,35,35,44,3,-26,35,9,12,3,2.432299279,4
1,Milagra,2010,Mech,10,53,43,10,15,0,15,25,53,0,16,16,69,43,-15,16,1,44,7,2,6.92820323
2,Milagra,2010,a-Control,4,8,4,8,28,0,28,36,22,35,0,35,57,14,7,0,7,21,4.472135955,0,5
2,Milagra,2010,Burn,5,12,7,5,40,0,40,45,19,0,38,38,57,14,-40,38,-2,12,4.472135955,2.482823796,4
2,Milagra,2010,Mech,4,39,35,4,37,0,37,41,53,0,28,28,81,49,-37,28,-9,40,7.416198487,2.300326634,6.633249581
3,Milagra,2010,a-Control,0,0,0,0,11,0,11,11,0,19,0,19,19,0,8,0,8,8,2.449489743,0,3.464101615
3,Milagra,2010,Burn,0,11,11,0,30,0,30,30,11,0,33,33,44,11,-30,33,3,14,4.123105626,2.396781727,4.242640687
3,Milagra,2010,Mech,1,18,17,1,22,0,22,23,18,0,17,17,35,17,-22,17,-5,12,4.795831523,2.030543185,4
6,Marin,2010,a-Control,3,1,-2,3,14,0,14,17,1,15,0,15,16,-2,1,0,1,-1,2,0,1.732050808
6,Marin,2010,Burn,3,6,3,3,11,0,11,14,6,0,8,8,14,3,-11,8,-3,0,3,1.681792831,2
6,Marin,2010,Mech,3,28,25,3,34,0,34,37,28,0,25,25,53,25,-34,25,-9,16,5.567764363,2.236067977,4.472135955
7,Marin,2010,a-Control,0,0,0,0,17,0,17,17,0,20,0,20,20,0,3,0,3,3,2.449489743,0,2.645751311
7,Marin,2010,Burn,0,8,8,0,14,0,14,14,8,0,13,13,21,8,-14,13,-1,7,3.741657387,1.898828922,3.31662479
7,Marin,2010,Mech,0,18,18,0,37,0,37,37,18,0,23,23,41,18,-37,23,-14,4,4.898979486,2.189938703,2.828427125
8,Marin,2010,a-Control,1,10,9,1,16,0,16,17,10,9,7,16,26,9,-7,7,0,9,3.872983346,1.626576562,3.605551275
8,Marin,2010,Burn,2,13,11,2,23,0,23,25,13,0,20,20,33,11,-23,20,-3,8,4.123105626,2.114742527,3.464101615
8,Marin,2010,Mech,1,19,18,1,9,0,9,10,19,0,4,4,23,18,-9,4,-5,13,4.898979486,1.414213562,4.123105626
9,Marin,2010,a-Control,0,2,2,0,29,0,29,29,2,35,2,37,39,2,6,2,8,10,2.828427125,1.189207115,3.741657387
9,Marin,2010,Burn,1,0,-1,1,26,0,26,27,0,1,22,23,23,-1,-25,22,-3,-4,2.236067977,2.165736771,0
9,Marin,2010,Mech,0,2,2,0,7,0,7,7,2,1,2,3,5,2,-6,2,-4,-2,2.828427125,1.189207115,1.414213562
10,Milagra,2010,a-Control,3,12,9,3,49,0,49,52,13,44,6,50,63,10,-5,6,1,11,4,1.56508458,3.872983346
10,Milagra,2010,Burn,5,16,11,5,45,0,45,50,16,0,44,44,60,11,-45,44,-1,10,4.123105626,2.575509577,3.741657387
10,Milagra,2010,Mech,1,22,21,1,44,0,44,45,22,1,38,39,61,21,-43,38,-5,16,5.196152423,2.482823796,4.472135955
