"Group","Type","Fixed_Effect","Mean","Lower_CI","Upper_CI","test2"
"Lupine","2009","BurnBefore",0.16,0.0943102899739462,0.246787597410862,"2009_BurnBefore"
"Lupine","2009","MechBefore",0.3,0.212406420489537,0.399814676179804,"2009_MechBefore"
"Lupine","2011","BurnAfter",0.35,0.257293778531451,0.45184936182397,"2011_BurnAfter"
"Lupine","2011","MechAfter",0.27,0.186066422290741,0.368016272908975,"2011_MechAfter"
"Lupine","2012","BurnAfter",0.3,0.212406420489537,0.399814676179804,"2012_BurnAfter"
"Lupine","2012","MechAfter",0.27,0.186066422290741,0.368016272908975,"2012_MechAfter"
"Lupine","2013","BurnAfter",0.24,0.160224613171447,0.335735489270998,"2013_BurnAfter"
"Lupine","2013","MechAfter",0.24,0.160224613171447,0.335735489270998,"2013_MechAfter"
"Lupine","2015","BurnAfter",0.26,0.177394437867653,0.357312063100104,"2015_BurnAfter"
"Lupine","2015","MechAfter",0.19,0.118443196132544,0.280697957973613,"2015_MechAfter"
"Native","2009","BurnBefore",0.94,0.873970065419177,0.977665113928684,"2009_BurnBefore"
"Native","2009","MechBefore",0.99,0.945540614607919,0.999746853967023,"2009_MechBefore"
"Native","2011","BurnAfter",0.63,0.527648359448317,0.724433420385449,"2011_BurnAfter"
"Native","2011","MechAfter",0.34,0.248223501544844,0.441533267750959,"2011_MechAfter"
"Native","2012","BurnAfter",0.68,0.579233138368377,0.769780083238423,"2012_BurnAfter"
"Native","2012","MechAfter",0.35,0.257293778531451,0.45184936182397,"2012_MechAfter"
"Native","2013","BurnAfter",0.79,0.697084620649459,0.865056304294671,"2013_BurnAfter"
"Native","2013","MechAfter",0.54,0.437411579866471,0.640156647020588,"2013_MechAfter"
"Native","2015","BurnAfter",0.73,0.631983727091025,0.813933577709259,"2015_BurnAfter"
"Native","2015","MechAfter",0.75,0.653447504241192,0.831220261900658,"2015_MechAfter"
"Invasive","2009","BurnBefore",0.87,0.78795932291255,0.92892695381457,"2009_BurnBefore"
"Invasive","2009","MechBefore",0.9,0.823777402259977,0.950995310778514,"2009_MechBefore"
"Invasive","2011","BurnAfter",1,0.963783307354824,1,"2011_BurnAfter"
"Invasive","2011","MechAfter",1,0.963783307354824,1,"2011_MechAfter"
"Invasive","2012","BurnAfter",1,0.963783307354824,1,"2012_BurnAfter"
"Invasive","2012","MechAfter",1,0.963783307354824,1,"2012_MechAfter"
"Invasive","2013","BurnAfter",1,0.963783307354824,1,"2013_BurnAfter"
"Invasive","2013","MechAfter",1,0.963783307354824,1,"2013_MechAfter"
"Invasive","2015","BurnAfter",0.98,0.92961606752893,0.997568663176057,"2015_BurnAfter"
"Invasive","2015","MechAfter",0.99,0.945540614607919,0.999746853967023,"2015_MechAfter"
"Shrub","2009","BurnBefore",0.67,0.568827249222437,0.760801465377398,"2009_BurnBefore"
"Shrub","2009","MechBefore",0.96,0.90074284328734,0.988995506013812,"2009_MechBefore"
"Shrub","2011","BurnAfter",0.64,0.537878106672577,0.733591577266765,"2011_BurnAfter"
"Shrub","2011","MechAfter",0.79,0.697084620649459,0.865056304294671,"2011_MechAfter"
"Shrub","2012","BurnAfter",0.52,0.417789765406307,0.620994519822041,"2012_BurnAfter"
"Shrub","2012","MechAfter",0.56,0.457187497063318,0.659163976276542,"2012_MechAfter"
"Shrub","2013","BurnAfter",0.66,0.558466732249041,0.751776498455156,"2013_BurnAfter"
"Shrub","2013","MechAfter",0.85,0.764692499851045,0.913545614358351,"2013_MechAfter"
"Shrub","2015","BurnAfter",0.59,0.487144203766771,0.687380023432429,"2015_BurnAfter"
"Shrub","2015","MechAfter",0.82,0.730522914033188,0.88968877084674,"2015_MechAfter"
